Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2021-06-06,0.51,344,1.47,879,0.57,0.5017,7
2021-06-07,0.30,240,1.24,610,0.49,0.4169,5
2021-06-08,0.06,265,0.23,600,0.10,0.4375,2
2021-06-09,0.54,641,0.85,2293,0.24,0.4956,7
2021-06-10,0.05,265,0.18,640,0.08,0.4545,0
2021-06-11,0.90,383,2.34,909,0.99,0.4989,9
2021-06-12,0.49,418,1.18,1091,0.45,0.4429,6
2021-06-13,0.90,483,1.85,1557,0.58,0.4499,10
2021-06-14,0.38,344,1.11,723,0.53,0.4701,7
2021-06-15,0.79,284,2.78,615,1.28,0.4395,11
2021-06-16,0.19,317,0.61,693,0.28,0.4115,5
2021-06-17,0.43,196,2.18,407,1.05,0.4353,8
2021-06-18,0.14,241,0.58,460,0.30,0.479,1
2021-06-19,0.32,347,0.92,877,0.36,0.4026,7
2021-06-20,0.34,548,0.62,1721,0.20,0.3959,6
2021-06-21,0.30,392,0.75,1095,0.27,0.3976,3
2021-06-22,0.51,373,1.38,1068,0.48,0.4909,6
2021-06-23,0.62,437,1.42,999,0.62,0.4371,7
2021-06-24,0.42,306,1.38,754,0.56,0.4641,6
2021-06-25,0.69,376,1.84,946,0.73,0.4354,8
2021-06-26,0.64,425,1.49,1254,0.51,0.4656,9
2021-06-27,0.56,385,1.45,1055,0.53,0.4336,6
2021-06-28,0.25,329,0.75,756,0.33,0.4307,3
2021-06-29,0.33,225,1.47,548,0.60,0.4351,3
2021-06-30,0.17,226,0.74,530,0.32,0.4822,1
2021-07-01,0.22,223,0.97,564,0.38,0.4258,2
2021-07-02,0.06,185,0.33,536,0.11,0.4586,0
2021-07-03,0.22,262,0.86,733,0.31,0.4476,3
2021-07-04,0.30,376,0.81,1117,0.27,0.5113,3
2021-07-05,0.08,188,0.44,544,0.15,0.4519,1
2021-07-06,0.13,205,0.63,552,0.23,0.3924,2
2021-07-07,0.18,185,0.98,448,0.41,0.4279,2
2021-07-08,0.02,228,0.07,512,0.03,0.4436,0
2021-07-09,0.08,249,0.31,663,0.11,0.4722,1
2021-07-10,0.08,291,0.27,812,0.10,0.5006,2
2021-07-11,0.11,271,0.39,726,0.14,0.4715,2
2021-07-12,0.23,249,0.93,695,0.33,0.4408,1
2021-07-13,0.08,264,0.29,645,0.12,0.4368,1
2021-07-14,0.09,336,0.26,844,0.10,0.4426,2
2021-07-15,0.33,365,0.92,943,0.35,0.4836,4
2021-07-16,0.01,182,0.07,421,0.03,0.4556,0
2021-07-17,0.38,680,0.56,1728,0.22,0.4383,6
2021-07-18,0.03,257,0.12,600,0.05,0.4704,1
2021-07-19,0.07,270,0.28,821,0.09,0.4728,2
2021-07-20,0.51,382,1.35,1082,0.48,0.5018,6
2021-07-21,0.26,293,0.88,790,0.33,0.5044,2
2021-07-22,0.29,321,0.91,889,0.33,0.472,3
2021-07-23,0.19,284,0.66,830,0.23,0.4813,4
2021-07-24,0.69,330,2.09,1048,0.66,0.4613,11
2021-07-25,1.03,230,4.48,693,1.49,0.4522,11
2021-07-26,0.37,340,1.08,904,0.40,0.4544,6
2021-07-27,0.49,320,1.53,852,0.57,0.4953,4
2021-07-28,0.38,245,1.57,693,0.55,0.4906,3
2021-07-29,0.42,192,2.17,466,0.89,0.4903,3
2021-07-30,0.30,167,1.81,427,0.71,0.4381,3
2021-07-31,0.09,191,0.50,483,0.20,0.4054,2
2021-08-01,0.06,110,0.58,271,0.24,0.4674,1
2021-08-02,0.09,115,0.77,261,0.34,0.5364,1
2021-08-03,0.22,183,1.18,465,0.47,0.5443,3
2021-08-04,0.45,240,1.87,751,0.60,0.4766,7
2021-08-05,0.26,264,0.97,678,0.38,0.4596,5
2021-08-06,0.06,159,0.37,411,0.14,0.3423,0
2021-08-07,0.04,151,0.23,333,0.11,0.465,0
2021-08-08,0.06,125,0.51,399,0.16,0.5263,1
2021-08-09,0.09,246,0.38,715,0.13,0.4878,2
2021-08-10,0.04,133,0.31,302,0.13,0.5,0
2021-08-11,0.04,112,0.33,283,0.13,0.414,0
2021-08-12,0.02,139,0.17,325,0.07,0.4154,0
2021-08-13,0.27,228,1.20,652,0.42,0.476,3
2021-08-14,0.21,167,1.27,478,0.44,0.4735,4
2021-08-15,0.03,176,0.18,496,0.06,0.4521,0
2021-08-16,0.06,221,0.28,684,0.09,0.4398,1
2021-08-17,0.55,149,3.69,350,1.57,0.4177,7
2021-08-18,0.55,305,1.81,738,0.75,0.487,12
2021-08-19,0.11,201,0.54,547,0.20,0.4446,1
2021-08-20,0.25,118,2.08,364,0.67,0.5043,1
2021-08-21,0.30,151,1.96,377,0.79,0.4707,5
2021-08-22,0.41,205,1.98,489,0.83,0.437,5
2021-08-23,0.34,449,0.75,1654,0.20,0.4582,9
2021-08-24,0.35,239,1.47,562,0.62,0.4836,3
2021-08-25,0.45,208,2.14,531,0.84,0.4405,5
2021-08-26,0.08,250,0.31,581,0.13,0.4577,0
2021-08-27,0.51,325,1.57,815,0.63,0.4711,8
2021-08-28,0.09,134,0.66,450,0.20,0.4431,3
2021-08-29,0.06,141,0.39,455,0.12,0.4222,2
2021-08-30,0.04,271,0.15,726,0.06,0.4234,0
2021-08-31,0.42,289,1.47,759,0.56,0.4532,4
2021-09-01,0.63,290,2.19,703,0.90,0.4538,8
2021-09-02,0.30,256,1.17,596,0.50,0.4746,5
2021-09-03,0.34,305,1.13,698,0.49,0.4547,5
2021-09-04,0.28,362,0.78,981,0.29,0.4165,4
2021-09-05,0.17,392,0.43,791,0.21,0.4692,3
2021-09-06,0.22,257,0.87,630,0.36,0.4943,4
2021-09-07,0.14,190,0.72,403,0.34,0.4303,3
2021-09-08,0.16,154,1.06,406,0.40,0.4338,3
2021-09-09,0.07,194,0.37,510,0.14,0.3917,0
2021-09-10,0.41,187,2.18,480,0.85,0.4241,3
2021-09-11,0.20,148,1.37,379,0.54,0.4324,1
2021-09-12,0.14,163,0.83,375,0.36,0.4728,2
2021-09-13,0.34,164,2.05,365,0.92,0.4088,3
2021-09-14,0.33,230,1.42,515,0.63,0.4447,2
2021-09-15,0.17,199,0.86,518,0.33,0.4471,1
2021-09-16,0.29,259,1.11,647,0.44,0.4821,0
2021-09-17,0.30,366,0.81,920,0.32,0.4576,1
2021-09-18,0.22,286,0.77,862,0.26,0.4808,1
2021-09-19,0.35,301,1.17,813,0.43,0.4625,2
